theta1,theta2,w1,w2
0.1364646856,1.5684739341,-1.387633829,-0.6171728732
-0.0039888879,1.4484555393,-1.3056813598,-1.7961107756
-0.1229007423,1.2103699879,-0.8582978105,-2.9605210869
-0.1746685258,0.8568716059,0.107332868,-4.1951385231
-0.0996720676,0.3672752326,1.706250704,-5.9469148109
0.1631794529,-0.333916932,1.4217435849,-5.5626786158
0.2173199447,-0.7919263529,-0.0150854497,-3.9899673742
0.1534289593,-1.1228298681,-0.9620891238,-2.7225282508
0.0235259874,-1.3367074643,-1.4243278025,-1.5086270857
-0.13192578,-1.4272659788,-1.5617488283,-0.2768067275
-0.2901045747,-1.3941699241,-1.5816459719,0.9355871757
-0.4497195492,-1.2405507076,-1.6741652525,2.1574161956
-0.6261349993,-0.9621651891,-1.8595853502,3.3583773796
-0.8161529527,-0.5765925987,-1.2831167523,3.5017200831
-0.8858743023,-0.2585775957,-0.0130858803,2.7745305867
-0.8214745134,-0.0217940917,1.2355081702,1.9270929189
-0.6397196252,0.1259450674,2.3645067714,0.8210364029
-0.3497365095,0.143928097,3.4646471169,-0.7225404081
0.0506670572,-0.0112930979,4.1397775217,-1.7999448421
0.452875635,-0.1736817475,3.3330815778,-0.5198308786
0.7289471877,-0.1382619777,2.2235638452,0.9516894471
0.8973693836,0.0174039004,1.0763260099,1.9640251703
0.9461743519,0.2549016194,-0.1962618988,2.7524336135
0.8595554773,0.5695259282,-1.5963007545,3.6175198556
0.6341775138,0.9715011027,-2.1871098567,3.4645221308
0.4221778248,1.2632435906,-1.9829903854,2.1927216858
0.2358789143,1.4131602657,-1.8589981242,0.8652898374
0.0528014422,1.4342559475,-1.810972415,-0.4414668987
-0.1242477695,1.324698375,-1.6146218268,-1.735202968
-0.2683632656,1.0886075877,-1.0433207069,-2.9411442561
-0.3324939392,0.737230669,0.042982887,-4.1347685035
-0.2587947104,0.2574681066,1.7557054193,-5.8254085389
0.0183341045,-0.4334800788,1.8233032028,-5.6608665049
0.1193647788,-0.8985862136,0.4949064271,-4.0503926156
0.1096073904,-1.233131546,-0.3791009172,-2.8215100611
0.0408566649,-1.461376934,-0.7942388526,-1.7453502409
-0.0499693444,-1.5832771797,-0.8941688061,-0.6774323008
-0.1390780546,-1.5980408959,-0.8421712923,0.3772533096
-0.2197637377,-1.5082037511,-0.8074746682,1.4174419222
-0.3019583634,-1.3140213249,-0.9481935619,2.5133087302
-0.41119374,-1.0038431158,-1.3932247993,3.8136981693
-0.581179245,-0.5502848712,-1.5865267996,4.7227125783
-0.7078374602,-0.0847579916,-0.3236625364,3.9220742568
-0.6615174606,0.2473920036,1.0856381258,2.7945556695
