theta1,theta2,w1,w2
0.0392883819,0.7175442411,-2.3196337614,-0.8999940672
0.0163569843,0.707847005,-2.2654066265,-1.0393552216
-0.0060199155,0.6967577223,-2.2086831411,-1.1783164846
-0.0278168476,0.6842812486,-2.1493577555,-1.3167209329
-0.0490072469,0.6704238664,-2.0873191747,-1.4544389182
-0.0695634172,0.6551930234,-2.0224545479,-1.5913660753
-0.0894565359,0.6385970887,-1.9546531109,-1.7274219841
-0.1086566911,0.6206451182,-1.8838093786,-1.8625492879
-0.1271329503,0.6013466276,-1.8098259966,-1.9967130644
-0.1448534543,0.5807113711,-1.7326163612,-2.1299002421
-0.1617855381,0.5587491259,-1.6521071357,-2.2621188389
-0.177895876,0.5354694859,-1.568240809,-2.393396779
-0.1931506527,0.51088167,-1.4809784783,-2.5237800081
-0.2075157648,0.4849943538,-1.3903030762,-2.6533295788
-0.2209570559,0.4578155361,-1.2962233229,-2.782117309
-0.2334405978,0.429352457,-1.1987787528,-2.9102195295
-0.2449330259,0.3996115902,-1.0980462487,-3.0377083263
-0.255401951,0.3685987364,-0.9941486108,-3.1646395541
-0.2648164666,0.3363192546,-0.8872657819,-3.2910367653
-0.2731477848,0.3027784779,-0.7776494254,-3.4168700775
-0.2803700355,0.2679823672,-0.6656415642,-3.5420289563
-0.2864612749,0.2319384713,-0.5516978805,-3.666287995
-0.2914047507,0.1946572648,-0.4364159303,-3.7892651872
-0.295190474,0.1561539422,-0.3205677938,-3.91037311
-0.2978171364,0.1164507314,-0.2051353619,-4.0287651609
-0.2992943867,0.0755797602,-0.0913443578,-4.1432817902
-0.2996454256,0.0335864429,0.0193097691,-4.252405686
-0.2989097969,-0.0094667607,0.1250544876,-4.3542397705
-0.2971461277,-0.0534965229,0.2238649616,-4.4465264117
-0.2944344223,-0.0983952743,0.3135354946,-4.5267279124
-0.2908773766,-0.1440289885,0.3918081885,-4.5921834445
-0.2866001082,-0.1902369362,0.4565581181,-4.6403428838
-0.2817477817,-0.236834128,0.5060160823,-4.6690536606
-0.2764809005,-0.2836167844,0.5389899053,-4.6768495754
-0.2709685161,-0.3303705422,0.5550331544,-4.6631737733
-0.2653801399,-0.3768803902,0.5545156056,-4.6284748012
-0.2598775224,-0.4229408225,0.538574654,-4.5741475202
-0.2546075079,-0.4683646289,0.508961412,-4.502336652
-0.2496968696,-0.5129891459,0.4678233819,-4.4156582466
-0.2452495048,-0.5566794833,0.4174754977,-4.3169074467
-0.2413458587,-0.5993289188,0.3602023885,-4.2088087877
-0.2380440906,-0.640857109,0.2981154257,-4.0938394188
-0.2353823724,-0.6812069298,0.2330688075,-3.974129944
-0.2333817423,-0.7203406932,0.1666259223,-3.8514304917
-0.2320490793,-0.7582363056,0.1000617429,-3.7271226418
-0.2313799082,-0.7948837249,0.0343870447,-3.6022582219
-0.2313608868,-0.8302818986,-0.0296168873,-3.4776100474
-0.2319719142,-0.8644362392,-0.0913608188,-3.3537245805
-0.2331878658,-0.8973566187,-0.150411997,-3.2309707228
-0.2349799896,-0.9290558223,-0.2064627399,-3.1095820274
-0.2373170116,-0.9595483874,-0.259303969,-2.9896915653
-0.2401660019,-0.9888497556,-0.308803611,-2.8713597752
-0.2434930483,-1.0169756692,-0.3548893634,-2.7545961395
-0.2472637775,-1.0439417564,-0.3975351582,-2.639375698
-0.2514437578,-1.0697632577,-0.4367506492,-2.5256513892
-0.2559988107,-1.0944548583,-0.4725731061,-2.4133630991
-0.260895251,-1.1180305953,-0.5050611937,-2.3024441592
-0.2661000744,-1.1405038194,-0.5342902052,-2.1928258952
