theta1,theta2,w1,w2
0.1707412106,-7.2552259379,-4.035959025,5.0853370731
-0.2328546919,-6.7466922306,-6.0258255994,8.2027347608
-0.8354372519,-5.9264187545,-8.2311653499,11.617922816
-1.6585537869,-4.7646264729,0.5961418255,1.7175465896
-1.5989396043,-4.5928718139,1.5601229039,1.7035184673
-1.4429273139,-4.4225199672,2.5286859368,1.7243424389
-1.1900587203,-4.2500857233,3.5725348327,1.9185425797
-0.832805237,-4.0582314653,4.5849012767,2.1544031215
-0.3743151093,-3.8427911532,5.1197041694,1.7336152769
0.1376553076,-3.6694296255,4.5914942031,-0.240484753
0.5968047279,-3.6934781008,3.3769521055,-2.9911412425
0.9344999385,-3.992592225,2.873695448,-4.7514117756
1.2218694833,-4.4677334026,3.3639385345,-6.3996142752
1.5582633367,-5.1076948301,4.7058346176,-9.0957322248
2.0288467985,-6.0172680526,0.3371357705,-5.1205080215
2.0625603755,-6.5293188548,-1.8928795151,-5.7927183794
1.873272424,-7.1085906927,-4.3947642931,-6.9719381377
1.4337959947,-7.8057845065,-6.5539009934,-7.3748578683
0.7784058954,-8.5432702933,-7.7180282147,-6.7492658505
0.0066030739,-9.2181968783,-8.195932604,-5.8552990715
-0.8129901865,-9.8037267855,-7.4159128564,-3.555428896
-1.5545814721,-10.1592696751,-5.1544268602,0.4466089633
-2.0700241582,-10.1146087788,-3.3153767445,2.9870008736
-2.4015618326,-9.8159086914,-2.8413504656,3.5323935463
-2.6856968792,-9.4626693368,-2.8190267401,3.8798392642
-2.9675995532,-9.0746854103,-2.9411146043,4.3268733966
-3.2617110136,-8.6419980707,-2.4700040686,4.0476311974
-3.5087114205,-8.2372349509,-1.9008224568,3.9072652094
-3.6987936661,-7.84650843,-1.4936996401,4.448335119
-3.8481636302,-7.4016749181,-0.8758989758,5.5704396612
-3.9357535277,-6.844630952,-0.2300108385,7.0130383937
-3.9587546116,-6.1433271126,-2.1512191777,5.6666008996
-4.1738765294,-5.5766670227,-4.4979557074,4.5566717199
-4.6236721001,-5.1209998507,-6.504435789,6.2506576759
-5.274115679,-4.4959340831,-10.4143252082,10.8059947168
-6.3155481998,-3.4153346114,-1.9454250122,-3.7962197609
-6.510090701,-3.7949565875,-1.886005601,-4.0939218832
-6.6986912611,-4.2043487758,-1.4950040281,-4.4807792619
-6.848191664,-4.652426702,-0.6067302064,-4.7631604978
-6.9088646846,-5.1287427518,0.7804699419,-4.959641479
-6.8308176904,-5.6247068997,2.4951669945,-5.5591888958
-6.581300991,-6.1806257893,4.806709031,-7.5649310323
-6.1006300879,-6.9371188925,8.0441845257,-11.5474901163
-5.2962116353,-8.0918679041,-0.89968166,-0.1549880622
-5.3861798013,-8.1073667103,-1.5403817289,0.2221153426
-5.5402179742,-8.0851551761,-2.0368569266,0.8144198261
-5.7439036668,-8.0037131935,-2.3266002642,1.761780274
-5.9765636933,-7.8275351661,-2.5549192922,3.0034760779
-6.2320556225,-7.5271875583,-3.0821533279,4.4646486888
-6.5402709553,-7.0807226894,-4.3904420176,6.6629822682
-6.979315157,-6.4144244626,-6.9504249317,10.551226807
-7.6743576502,-5.3593017819,0.2722716404,1.99277993
-7.6471304862,-5.1600237889,1.3670443734,1.9469664632
-7.5104260488,-4.9653271426,2.3577428123,1.7357399244
-7.2746517676,-4.7917531501,3.0961320404,1.0855278508
-6.9650385636,-4.6832003651,3.4422432587,-0.2044317271
-6.6208142377,-4.7036435378,3.4506365401,-2.076317366
-6.2757505837,-4.9112752744,3.6320139109,-4.1146780595
-5.9125491926,-5.3227430803,4.7065079606,-6.5866556414
-5.4418983965,-5.9814086445,7.2988948658,-10.7761616785
-4.7120089099,-7.0590248123,-0.237180793,-1.8650170383
